,cbgs3 - ,s1000 - ,s1001 - ,s1002 - ,s1003 - ,cb111 - ,s1004 - ,s1005 - ,cb45h - ,s1006 - ,s1007 - ,s1008 - ,r1123 - ,s1009 - ,cb112 - ,cb113 - ,s1010 - ,s1011 - ,cb114 - ,s1012 - ,cba2j - ,s1013 - ,s1014 - ,s1015 - ,r1111 - ,r1112 - ,cb115 - ,s1016 - ,s1017 - ,s1018 - ,cb116 - ,s1019 - ,s1020 - ,r1113 - ,s1021 - ,s1022 - ,s1023 - ,s1024 - ,s1025 - ,cb117 - ,r1114 - ,cb118 - ,kp1007 - ,s1027 - ,s1028 - ,s1029 - ,s1030 - ,cb119 - ,s1031 - ,s1032 - ,s1033 - ,s1034 - ,r1115 - ,s1035 - ,r1116 - ,s1037 - ,s1038 - ,s1039 - ,s1040 - ,s1042 - ,s1043 - ,s1044 - ,s1045 - ,r1117 - ,r1118 - ,r1119 - ,r1120 - ,r1121 - ,r1122 - ,r1124 - ,s1046 - ,r1125 - ,s1047 - ,s1048 - ,cb120 - ,s1049 - ,s1050 - ,s1051 - ,s1052 - ,s1053 - ,r1126 - ,cb121 - ,s1036 - ,s1054 - ,s1055 - ,s1056 - ,r1127 - ,s1057 - ,s1058 - ,r1128 - ,r1129 - ,r1130 - ,r1131 - ,s1059 - ,s1060 - ,r1132 - ,r1133 - ,r1134 - ,r1135 - ,s1061 - ,s1062 - ,r1136 - ,cb122 - ,r1137 - ,cb123 - ,s1063 - ,s1064 - ,r1138 - ,r1139 - ,s1065 - ,r1140 - ,s1066 - ,s1067 - ,s1068 - ,s1069 - ,s1070 - ,r1141 - ,r1142 - ,r7nlm - ,raw2e - ,cb124 - ,s1071 - ,s1072 - ,r1e0q - ,r1143 - ,s1073 - ,s1074 - ,cb12h - ,r1144 - ,r1145 - ,r1149 - ,s1075 - ,cbvg4 - ,r1150 - ,s1076 - ,s1077 - 
cbgs3 - ,0.0,0.2853688273502142,0.30000000000000004,0.2714512254107879,0.24561922592339455,0.8314512254107879,0.2582123929275174,0.2853688273502142,0.4789525592567279,0.2582123929275174,0.30000000000000004,0.30000000000000004,0.2853688273502143,0.2714512254107879,0.7053688273502141,0.7053688273502141,0.2582123929275174,0.30000000000000004,0.9853688273502142,0.2853688273502142,0.6000000000000001,0.2853688273502142,0.2714512254107879,0.2853688273502143,0.3622858925900613,0.3456192259233946,0.72,0.2714512254107879,0.2714512254107879,0.2714512254107879,0.72,0.2582123929275174,0.2582123929275174,0.3553688273502143,0.30000000000000004,0.2714512254107879,0.2714512254107879,0.2714512254107879,0.2853688273502143,0.5382123929275173,0.4332123929275174,0.351406426915614,0.2853688273502142,0.2714512254107879,0.2582123929275174,0.2853688273502142,0.2582123929275174,0.86,0.2853688273502142,0.2853688273502142,0.2582123929275174,0.2853688273502143,0.38536882735021416,0.2853688273502142,0.38536882735021416,0.2582123929275174,0.2582123929275174,0.2853688273502142,0.30000000000000004,0.24561922592339455,0.2853688273502142,0.2582123929275174,0.2582123929275174,0.38536882735021416,0.4,0.3336402349214215,0.4,0.0,0.2853688273502143,0.37487905959418405,0.2853688273502143,0.736406426915614,0.2853688273502143,0.2853688273502143,0.6536402349214214,0.2714512254107879,0.2853688273502142,0.2853688273502142,0.2582123929275174,0.2853688273502142,0.3582123929275174,0.551451225410788,0.2714512254107879,0.2582123929275174,0.2582123929275174,0.30000000000000004,0.38536882735021427,0.2853688273502142,0.24561922592339455,0.32224546620451533,0.4020354940168808,0.4166666666666667,0.38811789207745456,0.2853688273502142,0.2714512254107879,0.4,0.32224546620451544,0.34561922592339456,0.38811789207745456,0.2714512254107879,0.2582123929275174,0.38811789207745456,0.6353688273502143,0.38811789207745456,0.7706192259233945,0.2853688273502143,0.2853688273502142,0.37487905959418405,0.40203549401688093,0.2853688273502142,0.4,0.30000000000000004,0.24561922592339455,0.24561922592339455,0.2582123929275174,0.2582123929275174,0.4253688273502142,0.41145122541078794,0.34145122541078793,0.38750000000000007,0.9714512254107879,0.30000000000000004,0.2714512254107879,0.3000232439822931,0.38811789207745456,0.2853688273502143,0.2714512254107879,0.8056192259233945,0.28170996582230445,0.3582123929275174,0.41145122541078794,0.2714512254107879,0.571451225410788,0.4166666666666667,0.2853688273502142,0.2853688273502142
s1000 - ,0.2853688273502142,0.0,0.46036882735021417,0.2853688273502143,0.2582123929275174,0.2582123929275173,0.271451225410788,0.44000000000000006,0.23364023492142144,0.621451225410788,0.46036882735021417,0.7520354940168807,0.41145122541078794,0.4603688273502143,0.30000000000000004,0.30000000000000004,0.271451225410788,0.4253688273502142,0.2714512254107879,0.7666666666666666,0.2853688273502142,0.47500000000000003,0.7248790595941839,0.4464512254107879,0.23364023492142144,0.23364023492142144,0.2853688273502142,0.4603688273502143,0.2853688273502143,0.40203549401688093,0.2853688273502142,0.41145122541078794,0.41145122541078794,0.2714512254107879,0.46036882735021417,0.2853688273502143,0.2853688273502143,0.2853688273502143,0.7381178920774545,0.24561922592339455,0.271451225410788,0.22224546620451543,0.30000000000000004,0.3982123929275173,0.38561922592339454,0.44000000000000006,0.271451225410788,0.2853688273502142,0.44000000000000006,0.5800000000000001,0.271451225410788,0.2714512254107879,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.271451225410788,0.44645122541078797,0.44000000000000006,0.4253688273502142,0.2582123929275174,0.30000000000000004,0.271451225410788,0.271451225410788,0.30000000000000004,0.2853688273502142,0.24561922592339466,0.2853688273502142,0.0,0.2714512254107879,0.24561922592339455,0.38811789207745456,0.22224546620451543,0.41145122541078794,0.41145122541078794,0.24561922592339466,0.2853688273502143,0.30000000000000004,0.44000000000000006,0.271451225410788,0.30000000000000004,0.271451225410788,0.2582123929275173,0.4253688273502143,0.44645122541078797,0.271451225410788,0.46036882735021417,0.2714512254107879,0.30000000000000004,0.2582123929275174,0.2336402349214215,0.30000000000000004,0.2853688273502142,0.2853688273502143,0.30000000000000004,0.2853688273502143,0.2853688273502142,0.21140642691561404,0.2582123929275174,0.2853688273502143,0.2853688273502143,0.271451225410788,0.2582123929275173,0.2714512254107879,0.2853688273502143,0.23364023492142144,0.2714512254107879,0.44000000000000006,0.24561922592339455,0.2714512254107879,0.47500000000000003,0.2853688273502142,0.2853688273502142,0.2582123929275174,0.2582123929275174,0.271451225410788,0.41145122541078794,0.30000000000000004,0.2853688273502143,0.2853688273502143,0.2853688273502142,0.2853688273502143,0.2853688273502142,0.37487905959418394,0.2336402349214215,0.2853688273502143,0.2714512254107879,0.4332123929275173,0.2582123929275174,0.13479868923516647,0.271451225410788,0.2853688273502143,0.2853688273502143,0.2582123929275173,0.2853688273502142,0.47500000000000003,0.44000000000000006
s1001 - ,0.30000000000000004,0.46036882735021417,0.0,0.2714512254107879,0.24561922592339455,0.2714512254107879,0.2582123929275174,0.7520354940168807,0.2456192259233946,0.4332123929275174,0.30000000000000004,0.30000000000000004,0.2853688273502143,0.9714512254107879,0.2853688273502142,0.2853688273502142,0.4915457262608507,0.7666666666666666,0.2853688273502143,0.2853688273502142,0.30000000000000004,0.5187021606835475,0.2714512254107879,0.2853688273502143,0.2456192259233946,0.2456192259233946,0.30000000000000004,0.5047845587441212,0.2714512254107879,0.41145122541078794,0.30000000000000004,0.4332123929275174,0.4332123929275174,0.2853688273502143,0.5333333333333333,0.2714512254107879,0.2714512254107879,0.2714512254107879,0.2853688273502143,0.2582123929275174,0.2582123929275174,0.21140642691561404,0.2853688273502142,0.4464512254107879,0.7248790595941841,0.2853688273502142,0.2582123929275174,0.30000000000000004,0.46036882735021417,0.2853688273502142,0.2582123929275174,0.2853688273502143,0.2853688273502142,0.2853688273502142,0.2853688273502142,0.2582123929275174,0.2582123929275174,0.7520354940168807,0.30000000000000004,0.24561922592339455,0.2853688273502142,0.2582123929275174,0.2582123929275174,0.2853688273502142,0.30000000000000004,0.2336402349214215,0.30000000000000004,0.0,0.5187021606835476,0.2582123929275174,0.2853688273502143,0.21140642691561404,0.4603688273502143,0.2853688273502143,0.2336402349214215,0.2714512254107879,0.2853688273502142,0.7520354940168807,0.4915457262608507,0.5187021606835475,0.2582123929275174,0.2714512254107879,0.7381178920774545,0.9582123929275174,0.2582123929275174,1.0,0.2853688273502143,0.2853688273502142,0.24561922592339455,0.22224546620451532,0.2853688273502142,0.30000000000000004,0.2714512254107879,0.2853688273502142,0.2714512254107879,0.30000000000000004,0.22224546620451543,0.24561922592339455,0.2714512254107879,0.5047845587441212,0.2582123929275174,0.2714512254107879,0.2853688273502143,0.2714512254107879,0.2456192259233946,0.5187021606835476,0.46036882735021417,0.2582123929275174,0.2853688273502143,0.5187021606835475,0.30000000000000004,0.30000000000000004,0.24561922592339455,0.24561922592339455,0.2582123929275174,0.2582123929275174,0.2853688273502142,0.2714512254107879,0.2714512254107879,0.30000000000000004,0.2714512254107879,0.30000000000000004,0.2714512254107879,0.22224546620451532,0.2714512254107879,0.2853688273502143,0.9714512254107879,0.24561922592339455,0.14170996582230444,0.2582123929275174,0.2714512254107879,0.2714512254107879,0.2714512254107879,0.30000000000000004,0.2853688273502142,0.2853688273502142
s1002 - ,0.2714512254107879,0.2853688273502143,0.2714512254107879,0.0,0.2714512254107879,0.24561922592339455,0.2853688273502143,0.2853688273502143,0.2222454662045154,0.2853688273502143,0.2714512254107879,0.2714512254107879,0.2582123929275174,0.30000000000000004,0.2853688273502143,0.2853688273502143,0.2853688273502143,0.2714512254107879,0.2582123929275174,0.2853688273502143,0.2714512254107879,0.2853688273502143,0.24561922592339455,0.2582123929275174,0.2222454662045154,0.2222454662045154,0.2714512254107879,0.30000000000000004,0.30000000000000004,0.5800000000000001,0.2714512254107879,0.6353688273502143,0.2853688273502143,0.2582123929275174,0.2714512254107879,0.7666666666666666,0.30000000000000004,0.30000000000000004,0.2582123929275174,0.2336402349214215,0.2853688273502143,0.2336402349214215,0.2853688273502143,0.24561922592339455,0.2336402349214215,0.2853688273502143,0.752035494016881,0.2714512254107879,0.2853688273502143,0.2853688273502143,0.752035494016881,0.4332123929275174,0.2853688273502143,0.4603688273502143,0.2853688273502143,0.2853688273502143,0.2853688273502143,0.2853688273502143,0.2714512254107879,0.2714512254107879,0.2853688273502143,0.2853688273502143,0.2853688273502143,0.2853688273502143,0.2714512254107879,0.2582123929275174,0.2714512254107879,0.0,0.2582123929275174,0.2336402349214215,0.2582123929275174,0.2336402349214215,0.6082123929275174,0.2582123929275174,0.2582123929275174,0.30000000000000004,0.2853688273502143,0.2853688273502143,0.2853688273502143,0.2853688273502143,0.2853688273502143,0.24561922592339455,0.30000000000000004,0.2853688273502143,0.2853688273502143,0.2714512254107879,0.2582123929275174,0.2853688273502143,0.2714512254107879,0.24561922592339455,0.2853688273502143,0.2714512254107879,0.30000000000000004,0.4603688273502143,0.7666666666666666,0.2714512254107879,0.20109601381069184,0.2714512254107879,0.30000000000000004,0.30000000000000004,0.752035494016881,0.24561922592339455,0.2582123929275174,0.30000000000000004,0.2222454662045154,0.2582123929275174,0.4253688273502143,0.2336402349214215,0.2582123929275174,0.2853688273502143,0.2714512254107879,0.2714512254107879,0.2714512254107879,0.2714512254107879,0.2853688273502143,0.2853688273502143,0.2853688273502143,0.30000000000000004,0.30000000000000004,0.2714512254107879,0.30000000000000004,0.41145122541078794,0.24561922592339455,0.24561922592339455,0.30000000000000004,0.2582123929275174,0.24561922592339455,0.2714512254107879,0.12822447958461802,0.2853688273502143,0.30000000000000004,0.7666666666666666,0.24561922592339455,0.2714512254107879,0.2853688273502143,0.2853688273502143
s1003 - ,0.24561922592339455,0.2582123929275174,0.24561922592339455,0.2714512254107879,0.0,0.22224546620451532,0.7520354940168807,0.2582123929275174,0.20109601381069178,0.2853688273502142,0.24561922592339455,0.24561922592339455,0.2336402349214215,0.2714512254107879,0.2582123929275174,0.2582123929275174,0.5187021606835475,0.24561922592339455,0.2336402349214215,0.2582123929275174,0.24561922592339455,0.4915457262608507,0.22224546620451532,0.2336402349214215,0.20109601381069178,0.20109601381069178,0.24561922592339455,0.5047845587441212,0.9714512254107879,0.41145122541078794,0.24561922592339455,0.2853688273502142,0.7520354940168807,0.2336402349214215,0.47895255925672786,0.2714512254107879,0.5047845587441212,0.5047845587441212,0.2336402349214215,0.21140642691561404,0.2853688273502142,0.2582123929275174,0.2582123929275174,0.22224546620451532,0.21140642691561404,0.2582123929275174,0.2853688273502142,0.24561922592339455,0.7248790595941841,0.2582123929275174,0.2853688273502142,0.2336402349214215,0.2582123929275174,0.2582123929275174,0.2582123929275174,0.7520354940168807,0.2853688273502142,0.4332123929275174,0.24561922592339455,0.30000000000000004,0.2582123929275174,0.9853688273502141,0.7520354940168807,0.2582123929275174,0.24561922592339455,0.2853688273502143,0.24561922592339455,0.0,0.2336402349214215,0.21140642691561404,0.2336402349214215,0.2582123929275174,0.2336402349214215,0.2336402349214215,0.2853688273502143,0.2714512254107879,0.4915457262608507,0.2582123929275174,0.5187021606835475,0.4915457262608507,0.2853688273502142,0.22224546620451532,0.2714512254107879,0.2853688273502142,0.6353688273502142,0.24561922592339455,0.2336402349214215,0.2582123929275174,0.30000000000000004,0.2714512254107879,0.2582123929275174,0.24561922592339455,0.2714512254107879,0.2582123929275174,0.2714512254107879,0.24561922592339455,0.18195919791379006,0.30000000000000004,0.2714512254107879,0.5047845587441212,0.2853688273502142,0.22224546620451532,0.2336402349214215,0.2714512254107879,0.20109601381069178,0.4669735682547548,0.2582123929275174,0.21140642691561404,0.2336402349214215,0.4915457262608507,0.24561922592339455,0.9456192259233945,0.5333333333333333,0.5333333333333333,0.9853688273502141,0.2853688273502142,0.2582123929275174,0.2714512254107879,0.2714512254107879,0.24561922592339455,0.2714512254107879,0.24561922592339455,0.22224546620451532,0.2714512254107879,0.2714512254107879,0.2336402349214215,0.22224546620451532,0.30000000000000004,0.11602230703635036,0.2853688273502142,0.2714512254107879,0.2714512254107879,0.22224546620451532,0.24561922592339455,0.2582123929275174,0.2582123929275174
cb111 - ,0.8314512254107879,0.2582123929275173,0.2714512254107879,0.24561922592339455,0.22224546620451532,0.0,0.2336402349214215,0.2582123929275173,0.582562336521899,0.2336402349214215,0.2714512254107879,0.2714512254107879,0.2853688273502142,0.24561922592339455,0.8182123929275172,0.8182123929275172,0.2336402349214215,0.2714512254107879,0.8453688273502141,0.2582123929275173,0.5339512254107879,0.2582123929275173,0.30000000000000004,0.2853688273502142,0.37145122541078796,0.35895122541078794,0.8314512254107879,0.24561922592339455,0.24561922592339455,0.24561922592339455,0.8314512254107879,0.2336402349214215,0.2336402349214215,0.3490051909865778,0.2714512254107879,0.24561922592339455,0.24561922592339455,0.24561922592339455,0.2853688273502142,0.5187021606835476,0.38919579047697705,0.30795511215319865,0.2582123929275173,0.30000000000000004,0.2853688273502143,0.2582123929275173,0.2336402349214215,0.9714512254107879,0.2582123929275173,0.2582123929275173,0.2336402349214215,0.2853688273502142,0.3457123929275173,0.2582123929275173,0.3457123929275173,0.2336402349214215,0.2336402349214215,0.2582123929275173,0.2714512254107879,0.22224546620451532,0.2582123929275173,0.2336402349214215,0.2336402349214215,0.3457123929275173,0.35895122541078794,0.29890642691561403,0.35895122541078794,0.0,0.2853688273502142,0.38536882735021427,0.2853688273502142,0.6112884454865319,0.2853688273502142,0.2853688273502142,0.561406426915614,0.24561922592339455,0.2582123929275173,0.2582123929275173,0.2336402349214215,0.2582123929275173,0.3211402349214215,0.5333333333333333,0.24561922592339455,0.2336402349214215,0.2336402349214215,0.2714512254107879,0.3728688273502142,0.2582123929275173,0.22224546620451532,0.2885960138106918,0.3582123929275173,0.3714512254107879,0.34561922592339456,0.2582123929275173,0.24561922592339455,0.35895122541078794,0.33311922592339466,0.3097454662045153,0.34561922592339456,0.24561922592339455,0.2336402349214215,0.4,0.5853688273502142,0.34561922592339456,0.691451225410788,0.2853688273502142,0.2582123929275173,0.38536882735021427,0.38536882735021416,0.2582123929275173,0.35895122541078794,0.2714512254107879,0.22224546620451532,0.22224546620451532,0.2336402349214215,0.2336402349214215,0.37487905959418394,0.3622858925900612,0.3092555895597582,0.3492290031885657,0.8056192259233945,0.2714512254107879,0.30000000000000004,0.27109601381069176,0.34561922592339456,0.2853688273502142,0.30000000000000004,0.9222454662045153,0.2732803996949715,0.3211402349214215,0.3622858925900612,0.24561922592339455,0.7,0.3714512254107879,0.2582123929275173,0.2582123929275173
s1004 - ,0.2582123929275174,0.271451225410788,0.2582123929275174,0.2853688273502143,0.7520354940168807,0.2336402349214215,0.0,0.271451225410788,0.2114064269156141,0.30000000000000004,0.2582123929275174,0.2582123929275174,0.24561922592339466,0.2853688273502143,0.271451225410788,0.271451225410788,0.47500000000000003,0.2582123929275174,0.24561922592339466,0.271451225410788,0.2582123929275174,0.44645122541078797,0.2336402349214215,0.24561922592339466,0.2114064269156141,0.2114064269156141,0.2582123929275174,0.4603688273502143,0.752035494016881,0.40203549401688093,0.2582123929275174,0.30000000000000004,0.65,0.24561922592339466,0.4332123929275174,0.2853688273502143,0.4603688273502143,0.4603688273502143,0.24561922592339466,0.22224546620451543,0.30000000000000004,0.24561922592339455,0.271451225410788,0.2336402349214215,0.22224546620451543,0.271451225410788,0.30000000000000004,0.2582123929275174,0.621451225410788,0.271451225410788,0.30000000000000004,0.24561922592339466,0.271451225410788,0.271451225410788,0.271451225410788,0.65,0.30000000000000004,0.41145122541078794,0.2582123929275174,0.2853688273502142,0.271451225410788,0.7666666666666666,0.65,0.271451225410788,0.2582123929275174,0.2714512254107879,0.2582123929275174,0.0,0.24561922592339466,0.22224546620451543,0.24561922592339466,0.24561922592339455,0.24561922592339466,0.24561922592339466,0.2714512254107879,0.2853688273502143,0.44645122541078797,0.271451225410788,0.47500000000000003,0.44645122541078797,0.30000000000000004,0.2336402349214215,0.2853688273502143,0.30000000000000004,0.5333333333333333,0.2582123929275174,0.24561922592339466,0.271451225410788,0.2853688273502142,0.2582123929275173,0.271451225410788,0.2582123929275174,0.2853688273502143,0.271451225410788,0.2853688273502143,0.2582123929275174,0.19128844548653207,0.2853688273502142,0.2853688273502143,0.4603688273502143,0.30000000000000004,0.2336402349214215,0.24561922592339466,0.2853688273502143,0.2114064269156141,0.4206192259233946,0.271451225410788,0.22224546620451543,0.24561922592339466,0.44645122541078797,0.2582123929275174,0.7248790595941841,0.46036882735021417,0.46036882735021417,0.7666666666666666,0.30000000000000004,0.271451225410788,0.2853688273502143,0.2853688273502143,0.2582123929275174,0.2853688273502143,0.2582123929275174,0.2336402349214215,0.2582123929275173,0.2853688273502143,0.24561922592339466,0.2336402349214215,0.2853688273502142,0.12197089792217977,0.30000000000000004,0.2853688273502143,0.2853688273502143,0.2336402349214215,0.2582123929275174,0.271451225410788,0.271451225410788
s1005 - ,0.2853688273502142,0.44000000000000006,0.7520354940168807,0.2853688273502143,0.2582123929275174,0.2582123929275173,0.271451225410788,0.0,0.23364023492142144,0.41145122541078794,0.2853688273502142,0.2853688273502142,0.2714512254107879,0.752035494016881,0.30000000000000004,0.30000000000000004,0.44645122541078797,0.9853688273502141,0.2714512254107879,0.30000000000000004,0.2853688273502142,0.47500000000000003,0.2582123929275173,0.2714512254107879,0.23364023492142144,0.23364023492142144,0.2853688273502142,0.4603688273502143,0.2853688273502143,0.40203549401688093,0.2853688273502142,0.41145122541078794,0.41145122541078794,0.2714512254107879,0.46036882735021417,0.2853688273502143,0.2853688273502143,0.2853688273502143,0.2714512254107879,0.24561922592339455,0.271451225410788,0.22224546620451543,0.30000000000000004,0.3982123929275173,0.9456192259233945,0.30000000000000004,0.271451225410788,0.2853688273502142,0.44000000000000006,0.30000000000000004,0.271451225410788,0.2714512254107879,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.271451225410788,0.271451225410788,0.65,0.2853688273502142,0.2582123929275174,0.30000000000000004,0.271451225410788,0.271451225410788,0.30000000000000004,0.2853688273502142,0.24561922592339466,0.2853688273502142,0.0,0.4464512254107879,0.24561922592339455,0.2714512254107879,0.22224546620451543,0.41145122541078794,0.2714512254107879,0.24561922592339466,0.2853688273502143,0.30000000000000004,0.65,0.44645122541078797,0.47500000000000003,0.271451225410788,0.2582123929275173,0.6353688273502143,0.7381178920774546,0.271451225410788,0.7520354940168807,0.2714512254107879,0.30000000000000004,0.2582123929275174,0.2336402349214215,0.30000000000000004,0.2853688273502142,0.2853688273502143,0.30000000000000004,0.2853688273502143,0.2853688273502142,0.21140642691561404,0.2582123929275174,0.2853688273502143,0.4603688273502143,0.271451225410788,0.2582123929275173,0.2714512254107879,0.2853688273502143,0.23364023492142144,0.4464512254107879,0.44000000000000006,0.24561922592339455,0.2714512254107879,0.47500000000000003,0.2853688273502142,0.2853688273502142,0.2582123929275174,0.2582123929275174,0.271451225410788,0.271451225410788,0.30000000000000004,0.2853688273502143,0.2853688273502143,0.2853688273502142,0.2853688273502143,0.2853688273502142,0.2582123929275173,0.2336402349214215,0.2853688273502143,0.2714512254107879,0.7248790595941839,0.2582123929275174,0.13479868923516647,0.271451225410788,0.2853688273502143,0.2853688273502143,0.2582123929275173,0.2853688273502142,0.30000000000000004,0.30000000000000004
cb45h - ,0.4789525592567279,0.23364023492142144,0.2456192259233946,0.2222454662045154,0.20109601381069178,0.582562336521899,0.2114064269156141,0.23364023492142144,0.0,0.2114064269156141,0.2456192259233946,0.2456192259233946,0.25821239292751735,0.2222454662045154,0.4669735682547548,0.4669735682547548,0.2114064269156141,0.2456192259233946,0.4915457262608507,0.23364023492142144,0.5256192259233946,0.23364023492142144,0.271451225410788,0.25821239292751735,0.37000000000000005,0.36363636363636365,0.4789525592567279,0.2222454662045154,0.2222454662045154,0.2222454662045154,0.4789525592567279,0.2114064269156141,0.2114064269156141,0.30821239292751734,0.2456192259233946,0.2222454662045154,0.2222454662045154,0.2222454662045154,0.25821239292751735,0.35536882735021424,0.26525258076176794,0.2508627208919238,0.23364023492142144,0.271451225410788,0.28536882735021424,0.23364023492142144,0.2114064269156141,0.5567303370345057,0.23364023492142144,0.23364023492142144,0.2114064269156141,0.25821239292751735,0.2972765985577851,0.23364023492142144,0.2972765985577851,0.2114064269156141,0.2114064269156141,0.23364023492142144,0.2456192259233946,0.20109601381069178,0.23364023492142144,0.2114064269156141,0.2114064269156141,0.2972765985577851,0.30925558955975824,0.25492480912289567,0.30925558955975824,0.0,0.25821239292751735,0.35536882735021424,0.25821239292751735,0.3286404986697016,0.25821239292751735,0.25821239292751735,0.331288445486532,0.2222454662045154,0.23364023492142144,0.23364023492142144,0.2114064269156141,0.23364023492142144,0.2750427905519777,0.341451225410788,0.2222454662045154,0.2114064269156141,0.2114064269156141,0.2456192259233946,0.321848756563881,0.23364023492142144,0.20109601381069178,0.24559556155015366,0.30364023492142145,0.3156192259233946,0.2922454662045154,0.23364023492142144,0.2222454662045154,0.30925558955975824,0.33508758904715163,0.2647323774470554,0.2922454662045154,0.2222454662045154,0.2114064269156141,0.341451225410788,0.3854851202002446,0.2922454662045154,0.4555555555555556,0.25821239292751735,0.23364023492142144,0.35536882735021424,0.32821239292751736,0.23364023492142144,0.30925558955975824,0.2456192259233946,0.20109601381069178,0.20109601381069178,0.2114064269156141,0.2114064269156141,0.3114180126991992,0.3000232439822932,0.2722454662045154,0.3039525592567279,0.45557879953784874,0.2456192259233946,0.271451225410788,0.23580535175994388,0.2922454662045154,0.25821239292751735,0.271451225410788,0.5122071249218029,0.2508627208919238,0.2750427905519777,0.3000232439822932,0.2222454662045154,0.6603401142996769,0.3156192259233946,0.23364023492142144,0.23364023492142144
s1006 - ,0.2582123929275174,0.621451225410788,0.4332123929275174,0.2853688273502143,0.2853688273502142,0.2336402349214215,0.30000000000000004,0.41145122541078794,0.2114064269156141,0.0,0.4332123929275174,0.4332123929275174,0.38561922592339465,0.4603688273502143,0.271451225410788,0.271451225410788,0.30000000000000004,0.3982123929275174,0.24561922592339466,0.44645122541078797,0.2582123929275174,0.44645122541078797,0.4086402349214215,0.4206192259233946,0.2114064269156141,0.2114064269156141,0.2582123929275174,0.4603688273502143,0.2853688273502143,0.40203549401688093,0.2582123929275174,0.44000000000000006,0.44000000000000006,0.24561922592339466,0.4332123929275174,0.2853688273502143,0.2853688273502143,0.2853688273502143,0.4206192259233946,0.22224546620451543,0.30000000000000004,0.24561922592339455,0.271451225410788,0.3736402349214215,0.3622454662045154,0.41145122541078794,0.30000000000000004,0.2582123929275174,0.41145122541078794,0.3881178920774546,0.30000000000000004,0.24561922592339466,0.271451225410788,0.271451225410788,0.271451225410788,0.30000000000000004,0.47500000000000003,0.41145122541078794,0.3982123929275174,0.2853688273502142,0.271451225410788,0.30000000000000004,0.30000000000000004,0.271451225410788,0.2582123929275174,0.2714512254107879,0.2582123929275174,0.0,0.24561922592339466,0.22224546620451543,0.36228589259006133,0.24561922592339455,0.38561922592339465,0.38561922592339465,0.2714512254107879,0.2853688273502143,0.271451225410788,0.41145122541078794,0.30000000000000004,0.271451225410788,0.30000000000000004,0.2336402349214215,0.4253688273502143,0.47500000000000003,0.30000000000000004,0.4332123929275174,0.24561922592339466,0.271451225410788,0.2853688273502142,0.2582123929275173,0.271451225410788,0.2582123929275174,0.2853688273502143,0.271451225410788,0.2853688273502143,0.2582123929275174,0.19128844548653207,0.2853688273502142,0.2853688273502143,0.2853688273502143,0.30000000000000004,0.2336402349214215,0.24561922592339466,0.2853688273502143,0.2114064269156141,0.24561922592339466,0.41145122541078794,0.22224546620451543,0.24561922592339466,0.44645122541078797,0.2582123929275174,0.2582123929275174,0.2853688273502142,0.2853688273502142,0.30000000000000004,0.44000000000000006,0.271451225410788,0.2853688273502143,0.2853688273502143,0.2582123929275174,0.2853688273502143,0.2582123929275174,0.35030690158808814,0.2582123929275173,0.2853688273502143,0.24561922592339466,0.4086402349214215,0.2853688273502142,0.12197089792217977,0.30000000000000004,0.2853688273502143,0.2853688273502143,0.2336402349214215,0.2582123929275174,0.44645122541078797,0.41145122541078794
